0,3.1415927
0,1.5707963,3.1415927
0,1.3690852,1.7725074,3.1415927
0,1.2565787,1.885014,3.1415927
0,1.1806444,1.9609482,3.1415927
0,1.1243064,2.0172862,3.1415927
0,1.0800337,2.0615589,3.1415927
0,1.0438651,2.0977275,3.1415927
0,1.0134771,2.1281155,3.1415927
0,0.98739865,2.154194,3.1415927
0,0.96464363,2.176949,3.1415927
0,0.94452134,2.1970713,3.1415927
0,0.92653057,2.2150621,3.1415927
0,0.91029698,2.2312957,3.1415927
0,0.89553418,2.2460585,3.1415927
0,0.88201855,2.2595741,3.1415927
0,0.8695724,2.2720203,3.1415927
0,0.8580524,2.2835403,3.1415927
0,0.84734136,2.2942513,3.1415927
0,0.83734235,2.3042503,3.1415927
0,0.82797436,2.3136183,3.1415927
0,0.81916903,2.3224236,3.1415927
0,0.81086821,2.3307244,3.1415927
0,0.80302203,2.3385706,3.1415927
0,0.79558743,2.3460052,3.1415927
0,0.78852703,1.5707963,2.3530656,3.1415927
0,0.78180813,1.5489728,2.3597845,3.1415927
0,0.77540202,1.5707963,2.3661906,3.1415927
0,0.76928334,1.5911139,2.3723093,3.1415927
0,0.7634296,1.5707963,2.3781631,3.1415927
0,0.75782077,1.5517902,2.3837719,3.1415927
0,0.75243894,1.5707963,2.3891537,3.1415927
0,0.74726801,1.5886501,2.3943246,3.1415927
0,0.7422935,1.5707963,2.3992992,3.1415927
0,0.73750232,1.5876295,2.4040903,3.1415927
0,0.73288259,1.5707963,2.4087101,3.1415927
0,0.72842354,1.5867193,2.4131691,3.1415927
0,0.72411533,1.5707963,2.4174773,3.1415927
0,0.71994897,1.5859024,2.4216437,3.1415927
0,0.71591622,1.5707963,2.4256764,3.1415927
0,0.71200953,1.5851653,2.4295831,3.1415927
0,0.70822193,1.5707963,2.4333707,3.1415927
0,0.70454702,1.5844968,2.4370456,3.1415927
0,0.70097886,1.5707963,2.4406138,3.1415927
0,0.69751197,1.5838878,2.4440807,3.1415927
0,0.69414126,1.5707963,2.4474514,3.1415927
0,0.690862,1.5833306,2.4507306,3.1415927
0,0.6876698,1.5707963,2.4539229,3.1415927
0,0.68456055,1.5828189,2.4570321,3.1415927
0,0.68153043,1.5707963,2.4600622,3.1415927
0,0.67857586,1.5823473,2.4630168,3.1415927
0,0.67569351,1.5707963,2.4658991,3.1415927
0,0.67288022,1.5819114,2.4687124,3.1415927
0,0.67013306,1.5707963,2.4714596,3.1415927
0,0.66744926,1.5815071,2.4741434,3.1415927
0,0.66482623,1.5707963,2.4767664,3.1415927
0,0.66226151,1.5811312,2.4793311,3.1415927
0,0.6597528,1.5707963,2.4818399,3.1415927
0,0.6572979,1.5807809,2.4842947,3.1415927
0,0.65489478,1.5707963,2.4866979,3.1415927
0,0.65254148,1.5804535,2.4890512,3.1415927
0,0.65023615,1.5707963,2.4913565,3.1415927
0,0.64797706,1.5801468,2.4936156,3.1415927
0,0.64576254,1.5707963,2.4958301,3.1415927
