0,3.1415927
0,1.5707963,3.1415927
0,1.3880407,1.7535519,3.1415927
0,1.2858274,1.8557653,3.1415927
0,1.2166347,1.9249579,3.1415927
0,1.1651577,1.9764349,3.1415927
0,1.1246048,2.0169878,3.1415927
0,1.0914009,2.0501918,3.1415927
0,1.0634468,2.0781458,3.1415927
0,1.0394122,2.1021805,3.1415927
0,1.0184043,2.1231883,3.1415927
0,0.99979725,2.1417954,3.1415927
0,0.98313628,2.1584564,3.1415927
0,0.96808149,2.1735112,3.1415927
0,0.95437258,2.1872201,3.1415927
0,0.94180612,2.1997865,3.1415927
0,0.93022033,2.2113723,3.1415927
0,0.91948457,2.2221081,3.1415927
0,0.90949199,2.2321007,3.1415927
0,0.90015411,2.2414385,3.1415927
0,0.89139692,2.2501957,3.1415927
0,0.88315795,2.2584347,3.1415927
0,0.875384,2.2662087,3.1415927
0,0.86802942,2.2735632,3.1415927
0,0.86105478,2.2805379,3.1415927
0,0.8544258,2.2871669,3.1415927
0,0.84811251,2.2934801,3.1415927
0,0.84208855,2.2995041,3.1415927
0,0.83633064,2.305262,3.1415927
0,0.83081812,2.3107745,3.1415927
0,0.82553256,2.3160601,3.1415927
0,0.82045751,2.3211351,3.1415927
0,0.81557814,1.5546312,2.3260145,3.1415927
0,0.81088112,1.5707963,2.3307115,3.1415927
0,0.8063544,1.5555553,2.3352383,3.1415927
0,0.80198702,1.5707963,2.3396056,3.1415927
0,0.79776905,1.5563794,2.3438236,3.1415927
0,0.79369142,1.5707963,2.3479012,3.1415927
0,0.78974582,1.557119,2.3518468,3.1415927
0,0.78592465,1.5707963,2.355668,3.1415927
0,0.78222093,1.5577864,2.3593717,3.1415927
0,0.77862823,1.5707963,2.3629644,3.1415927
0,0.77514062,1.5583916,2.366452,3.1415927
0,0.77175261,1.5707963,2.36984,3.1415927
0,0.76845913,1.5589431,2.3731335,3.1415927
0,0.76525547,1.5707963,2.3763372,3.1415927
0,0.76213724,1.5594476,2.3794554,3.1415927
0,0.75910038,1.5707963,2.3824923,3.1415927
0,0.75614108,1.5599109,2.3854516,3.1415927
0,0.75325579,1.5707963,2.3883369,3.1415927
0,0.75044121,1.5603379,2.3911514,3.1415927
0,0.74769423,1.5707963,2.3938984,3.1415927
0,0.74501192,1.5607326,2.3965807,3.1415927
0,0.74239157,1.5707963,2.3992011,3.1415927
0,0.73983061,1.5610986,2.401762,3.1415927
0,0.73732661,1.5707963,2.404266,3.1415927
0,0.7348773,1.5614389,2.4067154,3.1415927
0,0.73248054,1.5707963,2.4091121,3.1415927
0,0.73013429,1.5617562,2.4114584,3.1415927
0,0.72783664,1.5707963,2.413756,3.1415927
0,0.72558579,1.5620526,2.4160069,3.1415927
0,0.72338001,1.5707963,2.4182126,3.1415927
0,0.72121768,1.5623302,2.420375,3.1415927
0,0.71909726,1.5707963,2.4224954,3.1415927
