1
1,1
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,6,6,1
1,6,7,1
1,7,7,1
1,8,7,1
1,8,8,1
1,8,9,1
1,9,9,1
1,10,9,1
1,10,10,1
1,11,10,1
1,11,11,1
1,12,11,1
1,12,12,1
1,13,12,1
1,13,13,1
1,14,13,1
1,14,14,1
1,15,14,1
1,15,15,1
1,16,15,1
1,9,14,9,1
1,9,15,9,1
1,9,16,9,1
1,10,15,10,1
1,10,16,10,1
1,10,17,10,1
1,10,18,10,1
1,11,17,11,1
1,11,18,11,1
1,11,19,11,1
1,11,20,11,1
1,12,19,12,1
1,12,20,12,1
1,12,21,12,1
1,12,22,12,1
1,13,21,13,1
1,13,22,13,1
1,13,23,13,1
1,13,24,13,1
1,13,25,13,1
1,14,24,14,1
1,14,25,14,1
1,14,26,14,1
1,14,27,14,1
1,15,26,15,1
1,15,27,15,1
1,15,28,15,1
1,15,29,15,1
1,16,28,16,1
1,16,29,16,1
1,16,30,16,1
