1
1,1
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
1,16,1
1,17,1
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,12,12,1
1,12,13,1
1,13,13,1
1,14,13,1
1,14,14,1
1,14,15,1
1,15,15,1
1,16,15,1
1,16,16,1
1,17,16,1
1,17,17,1
1,18,17,1
1,18,18,1
1,19,18,1
1,19,19,1
1,20,19,1
1,20,20,1
1,21,20,1
1,21,21,1
1,22,21,1
1,22,22,1
1,23,22,1
1,23,23,1
1,24,23,1
1,24,24,1
1,25,24,1
1,25,25,1
1,26,25,1
1,26,26,1
1,27,26,1
1,27,27,1
1,28,27,1
1,28,28,1
1,29,28,1
1,29,29,1
1,30,29,1
1,30,30,1
1,31,30,1
1,31,31,1
